"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"693010020611";1;"693010020611";;;
2;"U4";"LQFP-48_7x7mm_P0.5mm";1;"STM32F030C8Tx";;;
3;"Q1";"SOT95P280X125-3N";1;"AO3407A";;;
4;"U2";"VREG_LM5017MR_NOPB";1;"TPS5430DDA";;;
5;"R15,R14,R10,R3,R2,R4";"R_0402_1005Metric";6;"10K";;;
6;"R6,R12,R8,R13";"R_0805_2012Metric";4;"1K5";;;
7;"R7";"R_0805_2012Metric";1;"2K7";;;
8;"C1";"C_1206_3216Metric";1;"100u";;;
9;"C7";"C_0201_0603Metric";1;"10n";;;
10;"F1";"Fuse_0402_1005Metric";1;"Fuse 2.5A";;;
11;"R9";"R_0201_0603Metric";1;"100K";;;
12;"C12,C18,C17,C14,C16,C19";"C_0402_1005Metric";6;"100n";;;
13;"J4";"PinHeader_1x08_P2.54mm_Vertical";1;"RIGHT HEADER PINS";;;
14;"J1";"TerminalBlock_bornier-2_P5.08mm";1;"Screw_Terminal_01x02";;;
15;"R11";"R_0603_1608Metric";1;"1K";;;
16;"C13,C10";"C_0402_1005Metric";2;"30p";;;
17;"SW2,SW1";"SW_Push_1P1T_NO_CK_KSC6xxJ";2;"SW_Push";;;
18;"D3,D4,D5";"LED_0201_0603Metric";3;"LED";;;
19;"R5";"R_0805_2012Metric";1;"8K2";;;
20;"J2";"PinHeader_1x08_P2.54mm_Vertical";1;"LEFT HEADER PINS";;;
21;"C4";"C_0805_2012Metric";1;"10u";;;
22;"C11,C3";"C_0402_1005Metric";2;"10p";;;
23;"D2";"D_SMC";1;"B340";;;
24;"L1";"L_10.4x10.4_H4.8";1;"15uH";;;
25;"C15,C5";"C_0201_0603Metric";2;"4u7";;;
26;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"8MHz";;;
27;"C9";"CP_EIA-7343-15_Kemet-W";1;"220u";;;
28;"U3";"SOT65P210X110-6N";1;"SMF05CT1G";;;
29;"U1";"XCVR_SIM808";1;"SIM808";;;
30;"GSM1,GPS1";"U.FL-R-SMT-1";2;"U.FL-R-SMT-1";;;
31;"C8";"C_0402_1005Metric";1;"1u";;;
32;"R1";"R_0402_1005Metric";1;"4K7";;;
33;"D1";"D_0805_2012Metric";1;"D_Zener";;;
34;"C2";"C_0402_1005Metric";1;"33p";;;
35;"C6";"C_0402_1005Metric";1;"22p";;;
